Class,Precision,Recall,F1 Score
BI,0.824597992021652,0.7440186330942634,0.7809956722482895
GE,0.5758800549982837,0.6550398009950249,0.6062242138883068
MH,0.6400244791528085,0.5891346153846154,0.6014302749826201
S,0.6631622386052766,0.5976240391334731,0.613508346998913
TM,0.8539345778414713,0.7599972092235163,0.8006941530496151
VI,0.5435709384893413,0.7151545483664318,0.6078159159554584
