,MH,VI,GE,S,TM,BI
MH,36,6,0,3,9,11
VI,5,173,8,0,33,4
GE,3,30,123,0,20,24
S,2,2,3,34,6,6
TM,6,93,14,11,496,14
BI,7,28,39,3,35,330
