Class,Precision,Recall,F1 Score
MH,0.6101694915254238,0.5538461538461539,0.5806451612903227
VI,0.5210843373493976,0.7757847533632287,0.6234234234234235
GE,0.6577540106951871,0.615,0.6356589147286822
S,0.6666666666666666,0.6415094339622641,0.6538461538461539
TM,0.8280467445742905,0.7823343848580442,0.8045417680454177
BI,0.8483290488431876,0.746606334841629,0.7942238267148014
