,MH,VI,GE,S,TM,BI
MH,39,9,3,1,5,8
VI,1,185,20,0,12,5
GE,3,35,136,1,8,18
S,3,3,4,30,5,9
TM,3,133,54,7,411,25
BI,3,41,54,3,22,318
