Class,Precision,Recall,F1 Score
MH,0.75,0.6,0.6666666666666665
VI,0.45566502463054187,0.8295964125560538,0.5882352941176471
GE,0.5018450184501845,0.6766169154228856,0.576271186440678
S,0.7142857142857143,0.5555555555555556,0.6250000000000001
TM,0.8876889848812095,0.6492890995260664,0.7500000000000001
BI,0.8302872062663186,0.7210884353741497,0.7718446601941749
