Class,Precision,Recall,F1 Score
MH,0.75,0.46875,0.5769230769230769
VI,0.6398104265402843,0.6026785714285714,0.6206896551724137
GE,0.5617529880478087,0.7014925373134329,0.6238938053097345
S,0.4810126582278481,0.7169811320754716,0.5757575757575758
TM,0.8370607028753994,0.8264984227129337,0.8317460317460317
BI,0.7902439024390244,0.7346938775510204,0.7614571092831962
