,MH,VI,GE,S,TM,BI
MH,30,6,9,3,6,10
VI,0,135,28,0,50,11
GE,1,13,141,2,13,31
S,0,1,4,38,6,4
TM,4,34,24,18,524,30
BI,5,22,45,18,27,324
