,MH,VI,GE,S,TM,BI
MH,45,4,11,0,2,3
VI,4,169,32,0,14,4
GE,5,34,140,0,7,14
S,2,5,3,24,12,8
TM,18,107,31,6,447,24
BI,24,23,76,0,13,306
